title,licensee,release
Evert & Lendl Top Player's Tennis,Asmik,January 1990
Excitebike,Nintendo,October 1985
F-117A Stealth Fighter,Microprose,December 1992
F-15 Strike Eagle,Microprose,February 1992
Family Feud,Gametek,May 1991
Faria: A World of Mystery & Danger,Ascii,June 1991
Faxanadu,Nintendo,August 1989
Felix the Cat,Hudson Soft,October 1992
Ferrari Grand Prix Challenge,Acclaim,June 1992
Fester's Quest,Sunsoft,September 1989
Final Fantasy,Nintendo,May 1990
Fire 'N Ice,Tecmo,March 1993
Fisher Price: Firehouse Rescue,Gametek,March 1992
Fisher Price: I Can Remember,Gametek,March 1990
Fisher Price: Perfect Fit,Gametek,March 1990
Fist of the North Star,Taxan,April 1989
Flight of the Intruder,Mindscape,May 1991
"Flintstones, The",Taito Software,December 1991
"Flintstones: The Surprise at Dinosaur Peak, The",Taito Software,August 1994
Flying Dragon: The Secret Scroll,Culture Brain,August 1989
Flying Warriors,Culture Brain,February 1991
Formula 1: Built to Win,Seta,November 1990
Frankenstein: The Monster Returns,Bandai,July 1991
Freedom Force,Sunsoft,April 1988
Friday the 13th,LJN,February 1989
Fun House,Hi-Tech,January 1991
G.I. Joe,Taxan,January 1991
G.I. Joe: The Atlantis Factor,Capcom,March 1992
Galaga,Bandai,September 1988
Galaxy 5000,Activision,February 1991
Gargoyle's Quest II,Capcom,October 1992
Gauntlet II,Mindscape,September 1990
Gemfire,Koei,March 1992
Genghis Khan,Koei,January 1990
George Foreman's KO Boxing,Acclaim,December 1992
Ghostbusters,Activision,October 1988
Ghostbusters II,Activision,April 1990
Ghosts 'N Goblins,Capcom,November 1986
Ghoul School,Electro Brain,March 1992
Goal!,Jaleco,October 1989
Goal! Two,Jaleco,November 1992
Godzilla,Toho,October 1989
Godzilla 2: War of the Monsters,Toho,February 1992
Gold Medal Challenge '92,Capcom,August 1992
Golf,Nintendo,October 1985
Golf Grand Slam,Atlus Software,December 1991
Golgo 13: Top Secret Episode,Vic Tokai,September 1988
"Goonies II , The",Konami,November 1987
Gotcha!,LJN,November 1987
Gradius,Konami,December 1986
"Great Waldo Search, The",THQ,December 1992
Greg Norman's Golf Power,Virgin Interactive,July 1992
Gremlins 2: The New Batch,Sunsoft,October 1990
"Guardian Legend, The",Broderbund,April 1989
Guerilla War,SNK,June 1989
Gumshoe,Nintendo,June 1986
Gun Nac,Ascii,September 1991
Gunsmoke,Capcom,February 1988
Gyromite,Nintendo,October 1985
Gyruss,Ultra Soft,February 1989
Harlem Globetrotters,Gametek,March 1991
Hatris,Bullet Proof Software,April 1992
Heavy Barrel,Data East,March 1990
Heavy Shreddin',Parker Brothers,June 1990
High Speed,Tradewest,July 1991
Hogan's Alley,Nintendo,October 1985
Hollywood Squares,Gametek,September 1989
Home Alone,THQ,October 1991
Home Alone 2: Lost in New York,THQ,October 1992
Hook,Sony Imagesoft,April 1992
Hoops,Jaleco,June 1989
Hudson Hawk,Sony Imagesoft,February 1992
"Hunt for Red October, The",Hi-Tech,January 1991
Hydlide,FCI,June 1989
Ice Climber,Nintendo,October 1985
Ice Hockey,Nintendo,March 1988
Ikari Warriors,SNK,May 1987
Ikari Warriors II: Victory Road,SNK,April 1988
Ikari Warriors III: The Rescue,SNK,February 1991
Image Fight,Irem,July 1990
"Immortal, The",Electronic Arts,November 1990
"Incredible Crash Dummies, The",LJN,August 1994
Indiana Jones and the Last Crusade,Taito Software,March 1991
Indiana Jones and the Last Crusade,UBI Soft,December 1993
Indiana Jones and the Temple of Doom,Mindscape,December 1988
Infiltrator,Mindscape,January 1990
Iron Tank,SNK,July 1988
IronSword: Wizards and Warriors II,Acclaim,December 1989
Isolated Warrior,NTVIC,February 1991
"Ivan ""Iron Man"" Stewart's Super Off-Road",Tradewest,April 1990
Jack Nicklaus' Major Championship Golf,Konami,March 1990
Jackal,Konami,September 1988
Jackie Chan's Action Kung Fu,Hudson Soft,December 1990
James Bond Jr.,THQ,November 1992
Jaws,LJN,November 1987
Jeopardy!,Gametek,September 1988
Jeopardy! 25th Silver Anniversary Edition,Gametek,June 1990
Jeopardy! Jr. Edition,Gametek,October 1989
"Jetsons: Cogswell's Caper, The",Taito Software,December 1992
Jimmy Connors Pro Tennis Tour,UBI Soft,November 1993
Joe & Mac,Data East,December 1992
John Elway's Quarterback,Tradewest,March 1989
Jordan vs. Bird: One-on-One,Milton Bradley,August 1989
Journey to Silius,Sunsoft,September 1990
Joust,Hal America,October 1988
"Jungle Book, The",Virgin Interactive,August 1994
Jurassic Park,Ocean,June 1993
Kabuki: Quantum Fighter,Hal America,January 1991
Karate Champ,Data East,November 1986
Karate Kid,LJN,November 1987
Karnov,Data East,January 1988
Kick Master,Taito Software,January 1992
Kickle Cubicle,Irem,September 1990
Kid Icarus,Nintendo,July 1987
Kid Klown in Night Mayor World,Kemco,April 1993
Kid Kool,Vic Tokai,March 1990
Kid Niki,Data East,November 1987
King's Knight,Square Soft,September 1989
Kings of the Beach,Ultra Soft,January 1990
King's Quest V,Konami,June 1992
Kirby's Adventure,Nintendo,May 1993
Kiwi Kraze,Taito Software,March 1991
KlashBall,Sofel,July 1991
Knight Rider,Acclaim,December 1989
"Krion Conquest, The",Vic Tokai,January 1991
Krusty's Funhouse,Acclaim,September 1992
Kung Fu,Nintendo,October 1985
Kung Fu Heroes,Culture Brain,March 1989
Laser Invasion,Ultra Soft,June 1991
Last Action Hero,Sony Imagesoft,October 1993
"Last Ninja, The",Jaleco,February 1991
"Last Starfighter, The",Mindscape,June 1990
Lee Trevino's Fighting Golf,SNK,September 1988
"Legacy of the Wizard, The",Broderbund,April 1989
Legend of Ghost Lion,Kemco,October 1992
"Legend of Kage, The",Taito Software,August 1987
"Legend of Zelda, The",Nintendo,July 1987
Legendary Wings,Capcom,July 1988
Legends of the Diamond,Bandai,January 1992
Lemmings,Sunsoft,November 1992
L'Empereur,Koei,November 1991
Lethal Weapon,Ocean,April 1993
Life Force,Konami,August 1988
Little League Baseball: Championship Series,SNK,July 1990
"Little Mermaid, The",Capcom,July 1991
Little Nemo: The Dream Master,Capcom,September 1990
Little Ninja Brothers,Culture Brain,December 1990
Little Samson,Taito Software,November 1992
Lode Runner,Broderbund,September 1987
"Lone Ranger, The",Konami,August 1991
LoopZ,Mindscape,October 1990
Low G-Man,Taxan,September 1990
Lunar Pool,FCI,October 1987
M.C. Kids,Virgin Interactive,February 1992
M.U.L.E.,Mindscape,September 1990
M.U.S.C.L.E.,Bandai,October 1986
Mach Rider,Nintendo,October 1985
Mad Max,Mindscape,July 1990
"Mafat Conspiracy: Golgo 13 II, The",Vic Tokai,June 1990
Magic Darts,Romstar,September 1991
Magic Johnson's Fast Break,Tradewest,March 1990
Magic of Scheherazade,Culture Brain,December 1989
Magician,Taxan,February 1991
Magmax,FCI,October 1988
Major League Baseball,LJN,April 1988
Maniac Mansion,Jaleco,September 1990
Mappyland,Taxan,April 1989
Marble Madness,Milton Bradley,March 1989
Mario Bros.,Nintendo,June 1986
Mario is Missing,Mindscape,July 1993
Mario's Time Machine,Mindscape,June 1994
Marvel's X-Men,LJN,December 1989
Mechanized Attack,SNK,June 1990
Mega Man,Capcom,December 1987
Mega Man 2,Capcom,June 1989
Mega Man 3,Capcom,November 1990
Mega Man 4,Capcom,January 1992
Mega Man 5,Capcom,December 1992
Mega Man 6,Nintendo,March 1994
Mendel Palace,Hudson Soft,October 1990
Metal Gear,Ultra Soft,June 1988
Metal Mech,Jaleco,March 1991
Metal Storm,Irem,February 1991
Metroid,Nintendo,August 1986
Michael Andretti's World Grand Prix,American Sammy,June 1990
Mickey Mousecapades,Capcom,October 1988
Mickey's Adventures in Numberland,Hi-Tech,March 1994
Mickey's Safari in Letterland,Hi-Tech,March 1993
Might & Magic: Secret of the Inner Sanctum,American Sammy,August 1992
Mighty Bomb Jack,Tecmo,July 1987
Mighty Final Fight,Capcom,July 1993
Millipede,Hal America,October 1988
Milon's Secret Castle,Hudson Soft,September 1988
Mission: Impossible,Ultra Soft,September 1990
Monopoly,Parker Brothers,May 1991
Monster in My Pocket,Konami,January 1992
Monster Party,Bandai,June 1989
Monster Truck Rally,INTV,September 1991
Motor City Patrol,Matchbox Toys,January 1992
Ms. Pac Man,Namco,November 1993
Muppet Adventure: Chaos at the Carnival,Hi-Tech,November 1990
"Mutant Virus, The",American Softworks,April 1992
Mystery Quest,Taxan,April 1989
NARC,Acclaim,August 1990
NES Open Tournament Golf,Nintendo,September 1991
NES Play Action Football,Nintendo,September 1990
NFL Football,LJN,September 1989
Nigel Mansell's World Championship Racing,Gametek,October 1993
Nightshade,Ultra Soft,January 1992
Ninja Crusaders,American Sammy,December 1990
Ninja Gaiden,Tecmo,March 1989
Ninja Gaiden II: The Dark Sword of Chaos,Tecmo,May 1990
Ninja Gaiden III: The Ancient Ship of Doom,Tecmo,August 1991
Ninja Kid,Bandai,October 1986
Nintendo World Cup Soccer,Nintendo,December 1990
Nobunaga's Ambition,Koei,June 1989
Nobunaga's Ambition II,Koei,April 1991
North and South,Seika,December 1990
Operation Wolf,Taito Software,May 1989
Orb-3D,Hi-Tech,October 1990
Othello,Acclaim,December 1988
Overlord,Virgin Interactive,January 1993
P.O.W.: Prisoners of War,SNK,September 1989
Pac Man,Namco,November 1993
Palamedes,Hot-B,November 1990
Panic Restaurant,Taito Software,October 1992
Paperboy,Mindscape,December 1988
Paperboy 2,Mindscape,April 1992
Peter Pan & the Pirates,THQ,January 1991
Phantom Fighter,FCI,April 1990
Pictionary,LJN,July 1990
Pinball,Nintendo,October 1985
Pinball Quest,Jaleco,June 1990
Pinbot,Nintendo,April 1990
Pipe Dream,Bullet Proof Software,September 1990
Pirates!,Ultra Soft,October 1991
Platoon,Sunsoft,December 1988
Popeye,Nintendo,June 1986
Power Blade,Taito Software,March 1991
Power Blade 2,Taito Software,October 1992
Power Punch II,American Softworks,June 1992
Predator,Activision,April 1989
Prince of Persia,Virgin Interactive,November 1992
Princess Tomato in the Salad Kingdom,Hudson Soft,February 1991
Pro Sport Hockey,Jaleco,November 1993
Pro Wrestling,Nintendo,March 1987
Punch-Out!! Featuring Mr. Dream,Nintendo,October 1987
"Punisher, The",LJN,November 1990
Puss 'N Boots: Pero's Great Adventure,Electro Brain,June 1990
Puzznic,Taito Software,November 1990
Q*Bert,Ultra Soft,February 1989
Qix,Taito Software,January 1991
R.C. Pro-Am II,Tradewest,December 1992
R.C. Pro-Am Racing,Nintendo,February 1988
Race America,Absolute,May 1992
Racket Attack,Jaleco,October 1988
Rad Racer,Nintendo,October 1987
Rad Racer II,Square Soft,June 1990
Raid on Bungeling Bay,Broderbund,September 1987
Rainbow Islands,Taito Software,June 1991
Rally Bike,Romstar,September 1990
Rambo,Acclaim,May 1988
Rampage,Data East,December 1988
Rampart,Jaleco,January 1992
Remote Control,Hi-Tech,May 1990
"Ren & Stimpy Show: Buckaroo$, The",THQ,November 1993
Renegade,Taito Software,January 1988
Rescue: The Embassy Mission,Seika,January 1990
Ring King,Data East,September 1987
River City Ransom,American Technos,January 1990
RoadBlasters,Mindscape,January 1990
Robin Hood: Prince of Thieves,Virgin Interactive,November 1991
RoboCop,Data East,December 1989
RoboCop 2,Data East,April 1991
RoboCop 3,Ocean,August 1992
Robowarrior,Jaleco,December 1988
Rock 'n Ball,NTVIC,January 1990
Rocket Ranger,Seika,June 1990
"Rocketeer, The",Bandai,May 1991
Rockin' Kats,Atlus Software,September 1991
Roger Clemens' MVP Baseball,LJN,October 1991
Rollerball,Hal America,February 1990
Rollerblade Racer,Hi-Tech,February 1993
Rollergames,Ultra Soft,September 1990
Romance of the Three Kingdoms,Koei,October 1989
Romance of the Three Kingdoms II,Koei,September 1991
Roundball: 2 on 2 Challenge,Mindscape,May 1992
Rush 'n Attack,Konami,April 1987
Rygar,Tecmo,July 1987
S.C.A.T.: Special Cybernetic Attack Team,Natsume,June 1991
Section Z,Capcom,July 1987
Seicross,FCI,October 1988
Sesame Street: 123,Hi-Tech,January 1989
Sesame Street: ABC,Hi-Tech,September 1989
